budget,platform,content_type,audience_size,posting_hour,sentiment_score,holiday_flag,region,engagement_rate,roi
1040.42,facebook,carousel,6284,19,0.04,0,UAE,0.0234,1.097
378.55,tiktok,video,1366,21,0.326,1,UAE,0.1728,13.405
419.97,instagram,reel,119485,20,-0.031,0,Egypt,0.0338,1.342
798.33,instagram,video,1401,20,0.12,0,Jordan,0.0734,2.712
454.24,twitter,video,2559,17,-0.129,1,Saudi Arabia,0.022,1.537
125.95,instagram,story,2579,15,0.36,1,Saudi Arabia,0.0436,2.83
194.09,facebook,image,1561,20,0.449,1,Egypt,0.0312,1.89
498.5,tiktok,reel,35877,20,0.441,0,Jordan,0.1453,5.92
1204.64,instagram,image,116388,16,0.304,0,Saudi Arabia,0.0525,3.648
1727.42,instagram,video,4801,22,-0.239,0,Egypt,0.0528,1.514
813.69,instagram,reel,1896,14,0.083,0,Jordan,0.0772,4.322
522.47,twitter,carousel,691,16,0.157,0,Egypt,0.0223,0.567
791.5,instagram,carousel,6194,23,0.159,0,Saudi Arabia,0.0523,1.84
221.39,instagram,image,5721,21,0.326,0,Lebanon,0.044,1.7
351.46,instagram,video,3958,17,0.799,0,Lebanon,0.0711,2.402
192.15,instagram,video,10337,19,0.584,0,Saudi Arabia,0.0841,3.909
131.12,facebook,carousel,12515,19,-0.046,0,Saudi Arabia,0.0217,1.456
544.68,instagram,video,11560,7,0.537,0,UAE,0.0436,2.96
476.74,facebook,video,5723,14,0.524,0,Saudi Arabia,0.0217,1.251
749.11,facebook,video,2412,18,0.018,0,Saudi Arabia,0.032,1.532
659.51,tiktok,image,16855,17,0.597,0,Egypt,0.0797,2.784
501.89,instagram,video,8215,19,0.244,0,Lebanon,0.0694,4.115
665.78,tiktok,image,21529,23,-0.193,0,UAE,0.0781,3.248
388.23,facebook,reel,19323,17,0.459,0,Egypt,0.0248,0.674
584.99,instagram,carousel,1696,14,0.376,0,Egypt,0.0586,2.7
209.87,tiktok,image,1672,19,0.22,0,Jordan,0.0821,3.628
562.69,tiktok,carousel,3529,17,0.287,0,Egypt,0.1032,5.817
736.25,instagram,reel,2535,17,0.048,0,Egypt,0.0827,2.41
220.81,twitter,image,18597,17,0.514,1,UAE,0.0156,1.624
422.69,facebook,image,11925,23,0.285,0,UAE,0.0232,1.868
230.16,facebook,image,27149,9,0.358,0,UAE,0.0211,1.243
251.17,twitter,image,12533,16,0.425,1,Saudi Arabia,0.0194,1.254
146.58,instagram,reel,10193,18,-0.104,1,Jordan,0.0713,4.279
1260.42,tiktok,story,30324,15,-0.013,0,UAE,0.0621,3.749
1052.7,instagram,image,13584,22,-0.473,0,Saudi Arabia,0.0368,0.995
654.38,tiktok,reel,8733,21,0.498,1,UAE,0.1684,9.617
2380.29,facebook,image,41295,18,-0.124,0,Lebanon,0.0194,0.234
340.25,instagram,carousel,9197,17,0.346,0,UAE,0.0471,3.554
6176.99,facebook,reel,5797,18,0.43,0,Lebanon,0.0398,1.433
328.73,instagram,video,3224,18,0.511,0,Jordan,0.0897,4.316
507.59,instagram,image,17559,18,-0.121,0,UAE,0.0423,1.305
282.03,instagram,carousel,31595,17,0.277,0,Egypt,0.0391,1.105
564.02,instagram,story,7664,19,0.885,0,Egypt,0.05,1.996
855.81,instagram,image,34156,21,0.9,0,UAE,0.0587,3.609
364.12,instagram,image,927,13,0.646,0,Lebanon,0.0446,2.257
1996.29,tiktok,image,7623,14,0.418,1,Egypt,0.0926,4.601
500.31,tiktok,carousel,7753,11,-0.052,0,UAE,0.0552,4.765
